name,Price,kms_driven,fuel_type
Hyundai Santro Xing,80000,45000,Petrol
Mahindra Jeep CL550,425000,40,Diesel
Hyundai Grand i10,325000,28000,Petrol
Ford EcoSport Titanium,575000,36000,Diesel
Ford Figo,175000,41000,Diesel
Hyundai Eon,190000,25000,Petrol
Ford EcoSport Ambiente,830000,24530,Diesel
Maruti Suzuki Alto,250000,60000,Petrol
Skoda Fabia Classic,182000,60000,Petrol
Maruti Suzuki Stingray,315000,30000,Petrol
Hyundai Elite i20,415000,32000,Petrol
Mahindra Scorpio SLE,320000,48660,Diesel
Hyundai Santro Xing,80000,45000,Petrol
Mahindra Jeep CL550,425000,40,Diesel
Audi A8,1000000,4000,Petrol
Audi Q7,500000,16934,Diesel
Mahindra Scorpio S10,350000,43000,Diesel
Maruti Suzuki Alto,160000,35550,Petrol
Mahindra Scorpio S10,350000,43000,Diesel
Mahindra Scorpio S10,310000,39522,Diesel
Maruti Suzuki Alto,75000,39000,Petrol
Hyundai i20 Sportz,100000,55000,Petrol
Hyundai i20 Sportz,100000,55000,Petrol
Hyundai i20 Sportz,100000,55000,Petrol
Maruti Suzuki Alto,190000,72000,Petrol
Maruti Suzuki Vitara,290000,15975,Diesel
Maruti Suzuki Alto,95000,70000,Petrol
Mahindra Bolero DI,180000,23452,Diesel
Maruti Suzuki Swift,385000,35522,Diesel
Mahindra Scorpio S10,250000,48508,Diesel
Maruti Suzuki Swift,180000,15487,Petrol
Maruti Suzuki Wagon,105000,39000,Petrol
Maruti Suzuki Wagon,105000,39000,Petrol
Toyota Innova 2.0,650000,82000,Diesel
Renault Lodgy 85,689999,20000,Diesel
Skoda Yeti Ambition,448000,68000,Diesel
Maruti Suzuki Baleno,549000,32000,Diesel
Renault Duster 110,501000,38000,Diesel
Renault Duster 85,489999,27000,Diesel
Honda City 1.5,280000,33000,Petrol
Maruti Suzuki Alto,250000,60000,Petrol
Maruti Suzuki Dzire,349999,46000,Diesel
Honda Amaze,284999,46000,Diesel
Honda Amaze 1.5,345000,36000,Diesel
Honda City,499999,55000,Petrol
Datsun Redi GO,235000,16000,Petrol
Maruti Suzuki SX4,249999,36000,Petrol
Mitsubishi Pajero Sport,1475000,47000,Diesel
Mahindra Bolero DI,180000,23452,Diesel
Maruti Suzuki Swift,385000,35522,Diesel
Mahindra Scorpio S10,250000,48508,Diesel
Maruti Suzuki Swift,180000,15487,Petrol
Maruti Suzuki Wagon,105000,39000,Petrol
Maruti Suzuki Wagon,105000,39000,Petrol
Mahindra Scorpio S10,395000,35000,Diesel
Maruti Suzuki Swift,220000,30874,Petrol
Honda City ZX,170000,15000,Diesel
Maruti Suzuki Wagon,85000,29685,Petrol
Ford Figo,175000,41000,Diesel
Hyundai Eon,190000,25000,Petrol
Tata Indigo eCS,200000,130000,Diesel
Ford EcoSport Ambiente,830000,24530,Diesel
Tata Indigo eCS,200000,130000,Diesel
Mahindra Scorpio SLE,570000,19000,Diesel
Volkswagen Polo Highline,315000,60000,Petrol
Skoda Fabia Classic,182000,60000,Petrol
Maruti Suzuki Stingray,315000,30000,Petrol
Chevrolet Spark LS,110000,41000,Petrol
Renault Duster 110PS,501000,35000,Diesel
Honda City,448999,54000,Petrol
Mini Cooper S,1891111,13000,Petrol
Datsun Redi GO,235000,16000,Petrol
Skoda Fabia 1.2L,159500,38200,Diesel
Honda Amaze,344999,22000,Petrol
Honda Amaze,344999,22000,Petrol
Renault Duster,449999,50000,Diesel
Mini Cooper S,1891111,13500,Petrol
Mahindra Scorpio S4,865000,30000,Diesel
Mahindra Scorpio VLX,699000,50000,Diesel
Mahindra Quanto C8,375000,20000,Diesel
Ford EcoSport,489999,39000,Petrol
Honda Brio,224999,30000,Petrol
Volkswagen Vento Highline,1200000,3600,Diesel
Hyundai i20 Magna,195000,32000,Petrol
Toyota Corolla Altis,351000,38000,Diesel
Hyundai Verna Transform,160000,45000,Petrol
Toyota Corolla Altis,240000,35000,Petrol
Honda City 1.5,90000,50000,Petrol
Hyundai Elite i20,415000,32000,Petrol
Skoda Fabia 1.2L,155000,45863,Diesel
BMW 3 Series,600000,60500,Petrol
Maruti Suzuki A,189500,12500,Petrol
Toyota Etios GD,350000,60000,Diesel
Ford Figo Diesel,210000,35000,Diesel
Maruti Suzuki Swift,390000,35000,Petrol
Chevrolet Beat LT,135000,45000,Diesel
BMW 7 Series,1600000,35000,Petrol
Mahindra XUV500 W8,701000,38000,Diesel
Hyundai i10 Magna,265000,18000,Petrol
Hyundai Verna Fluidic,525000,35000,Diesel
Maruti Suzuki Swift,372000,13349,Petrol
Maruti Suzuki Ertiga,635000,29000,Petrol
Ford EcoSport Titanium,550000,44000,Diesel
Maruti Suzuki Ertiga,575000,29000,Petrol
Maruti Suzuki Ertiga,485000,42000,Diesel
Maruti Suzuki Alto,155000,14000,Petrol
Hyundai Grand i10,345000,49000,Diesel
Honda Amaze 1.2,325000,42000,Petrol
Hyundai i20 Asta,329500,36200,Diesel
Ford Figo Diesel,195000,50000,Diesel
Maruti Suzuki Eeco,251111,55000,Petrol
Maruti Suzuki Ertiga,569999,45000,Petrol
Maruti Suzuki Esteem,69999,51000,Petrol
Maruti Suzuki Ritz,299999,19000,Petrol
Maruti Suzuki Dzire,220000,46000,Petrol
Maruti Suzuki Ritz,399999,33000,Diesel
Maruti Suzuki Swift,372000,13349,Petrol
Maruti Suzuki Dzire,450000,104000,Diesel
Toyota Etios Liva,270000,55000,Petrol
Hyundai i20 Sportz,350000,33333,Diesel
Chevrolet Spark,158400,33600,Petrol
Maruti Suzuki Alto,350000,5600,Petrol
Nissan Micra XV,179000,41000,Petrol
Maruti Suzuki Swift,125000,70000,Petrol
Maruti Suzuki Alto,200000,7500,Petrol
Honda Amaze 1.5,299000,45000,Diesel
Maruti Suzuki Alto,220000,38000,Petrol
Chevrolet Beat,150000,30000,Petrol
Honda City 1.5,285000,35000,Petrol
Ford EcoSport Trend,830000,24330,Diesel
Hyundai i20 Asta,210000,65480,Petrol
Maruti Suzuki Swift,340000,41000,Petrol
Tata Indica V2,90000,20000,Petrol
Hindustan Motors Ambassador,70000,200000,Diesel
Toyota Corolla Altis,289999,70000,Petrol
Toyota Corolla Altis,349999,59000,Petrol
Toyota Innova 2.5,849999,99000,Diesel
Volkswagen Jetta Highline,749999,46000,Diesel
Volkswagen Polo Comfortline,399999,2800,Petrol
Volkswagen Polo,274999,32000,Petrol
Mahindra Scorpio,984999,22000,Diesel
Renault Duster,449999,50000,Diesel
Honda Amaze,344999,22000,Petrol
Nissan Sunny,224999,45000,Petrol
Hyundai Elite i20,599999,21000,Petrol
Renault Kwid,244999,11000,Petrol
Renault Duster,399999,41000,Diesel
Ford EcoSport,489999,39000,Petrol
Renault Duster,474999,50000,Diesel
Mahindra Scorpio VLX,499999,66000,Diesel
Maruti Suzuki Alto,310000,3000,Petrol
Chevrolet Spark LT,85000,45000,Petrol
Datsun Redi GO,245000,7000,Petrol
Maruti Suzuki Swift,189500,38500,Diesel
Fiat Punto Emotion,169500,37200,Diesel
Maruti Suzuki Swift,159500,43200,Diesel
Toyota Etios GD,275000,24800,Petrol
Hyundai i20 Sportz,370000,60000,Diesel
Hyundai i10 Sportz,168000,45872,Petrol
Chevrolet Beat LT,150000,40000,Diesel
Chevrolet Beat LS,145000,45000,Diesel
Chevrolet Beat LT,98500,38000,Diesel
Mahindra Scorpio VLX,699000,50000,Diesel
Tata Indigo CS,85000,11400,Diesel
Toyota Corolla Altis,575000,42000,Petrol
Honda City 1.5,549000,39000,Petrol
Maruti Suzuki Swift,209000,47000,Diesel
Hyundai Eon Era,185000,27000,Petrol
Mahindra Scorpio S10,900000,97200,Diesel
Mahindra XUV500,699999,52000,Diesel
Honda Brio,224999,30000,Petrol
Ford Fiesta,274999,55000,Diesel
Honda Amaze,284999,46000,Diesel
Honda City,599999,30000,Diesel
Maruti Suzuki Wagon,199999,44000,Petrol
Honda City,544999,45000,Diesel
Hyundai i20,199000,31000,Petrol
Tata Indigo eCS,320000,175430,Diesel
Hyundai Fluidic Verna,540000,38000,Diesel
Mahindra Quanto C8,340000,37000,Diesel
Fiat Petra ELX,75000,65000,Petrol
Skoda Fabia 1.2L,159500,38200,Diesel
Mini Cooper S,1891111,13000,Petrol
Hyundai Santro Xing,49000,7500,Petrol
Maruti Suzuki Ciaz,700000,3350,Petrol
Maruti Suzuki Zen,55000,60000,Petrol
Honda City,448999,54000,Petrol
Hyundai Creta 1.6,895000,32000,Petrol
Mahindra Scorpio SLX,355000,75000,Diesel
Mahindra Scorpio SLE,565000,62000,Diesel
Toyota Innova 2.5,365000,73000,Diesel
Maruti Suzuki Alto,145000,41000,Petrol
Maruti Suzuki Wagon,210000,35000,Petrol
Tata Nano Cx,40000,2200,Petrol
Maruti Suzuki Alto,125000,39000,Petrol
Maruti Suzuki Wagon,135000,45000,Petrol
Maruti Suzuki Swift,135000,45000,Petrol
Tata Sumo Victa,285000,65000,Diesel
Maruti Suzuki Wagon,145000,54870,Petrol
Maruti Suzuki Alto,135000,34580,Petrol
Volkswagen Passat Diesel,450000,97000,Diesel
Renault Scala RxL,375000,25000,Diesel
Mahindra Quanto C8,375000,20000,Diesel
Hyundai Grand i10,365000,20000,Petrol
Hyundai i20 Active,500000,18000,Petrol
Mahindra Xylo E4,400000,35000,Diesel
Mahindra Jeep MM,390000,60,Diesel
Renault Duster 110PS,501000,35000,Diesel
Mahindra Bolero SLE,330000,80200,Diesel
Force Motors Force,580000,3200,Diesel
Maruti Suzuki SX4,265000,46000,Diesel
Mahindra Jeep CL550,379000,0,Diesel
Maruti Suzuki Alto,219000,5000,Petrol
Mahindra Jeep CL550,385000,588,Diesel
Toyota Etios,275000,36000,Diesel
Volkswagen Polo,330000,38000,Diesel
Honda City ZX,110000,45000,Petrol
Maruti Suzuki Wagon,80000,71200,Petrol
Honda City VX,519000,52000,Diesel
Mahindra Thar CRDe,730000,29000,Diesel
Mitsubishi Pajero Sport,1475000,47000,Diesel
Audi A4 1.8,699000,47000,Petrol
Mercedes Benz GLA,2000000,20000,Diesel
Land Rover Freelander,2100000,30000,Diesel
Renault Kwid RXT,340000,5000,Petrol
Tata Aria Pleasure,390000,35000,Diesel
Mercedes Benz B,1400000,31000,Petrol
Datsun GO T,245000,7000,Petrol
Tata Indigo eCS,320000,175430,Diesel
Tata Indigo eCS,320000,175400,Diesel
Honda Jazz VX,450000,41000,Petrol
Honda Amaze 1.2,311000,33000,Petrol
Honda Amaze,284999,46000,Diesel
Honda City,399999,45000,Petrol
Honda City,599999,39000,Diesel
Honda Amaze,344999,22000,Petrol
Audi A4 1.8,699000,47000,Petrol
Force Motors Force,580000,3200,Diesel
Mahindra Scorpio S4,855000,30000,Diesel
Hyundai i20 Active,535000,37000,Diesel
Mini Cooper S,1891111,13000,Petrol
Maruti Suzuki Ciaz,699000,14000,Petrol
Chevrolet Tavera Neo,375000,55000,Diesel
Honda Amaze,284999,46000,Diesel
Hyundai Eon Sportz,178000,30000,Petrol
Tata Sumo Gold,300000,50000,Diesel
Maruti Suzuki Wagon,90000,45000,Petrol
Maruti Suzuki Esteem,95000,45000,Petrol
Maruti Suzuki Eeco,255000,9300,Petrol
Chevrolet Enjoy 1.4,245000,55000,Diesel
Hyundai i20 Asta,329500,36200,Diesel
Ford Figo Diesel,195000,50000,Diesel
Maruti Suzuki Eeco,251111,55000,Petrol
Maruti Suzuki Ertiga,569999,45000,Petrol
Maruti Suzuki Esteem,69999,51000,Petrol
Maruti Suzuki Ritz,299999,19000,Petrol
Maruti Suzuki Dzire,220000,46000,Petrol
Maruti Suzuki Ritz,399999,33000,Diesel
Maruti Suzuki SX4,249999,36000,Petrol
Maruti Suzuki Wagon,289999,22000,Petrol
Mini Cooper S,1891111,13500,Petrol
Nissan Terrano XL,499999,60000,Diesel
Renault Duster 85,489999,27000,Diesel
Renault Duster 85,489999,59000,Diesel
Renault Duster 85,549999,19000,Diesel
Maruti Suzuki Dzire,380000,30000,Petrol
Renault Kwid RXT,325000,15000,Petrol
Maruti Suzuki Maruti,57000,56758,Petrol
Renault Kwid 1.0,349999,10000,Petrol
Renault Lodgy 85,689999,20000,Diesel
Renault Scala RxL,349999,49000,Diesel
Hyundai Grand i10,410000,41000,Petrol
Maruti Suzuki Swift,225000,45000,Petrol
